year,cbsa,cbsaname,race,education,indicator,value,topmetro,metrosize,overallrank,sizerank
2018-2019,13980,"Blacksburg-Christiansburg, VA",Total,Total,Percent Change in Median Earnings,0.0035,0,,,
2009-2019,14010,"Bloomington, IL",Total,Total,Percent Change in Median Earnings,0.2474,0,,,
2014-2019,14010,"Bloomington, IL",Total,Total,Percent Change in Median Earnings,0.117024,0,,,
2018-2019,14010,"Bloomington, IL",Total,Total,Percent Change in Median Earnings,0.039087,0,,,
2009-2019,14020,"Bloomington, IN",Total,Total,Percent Change in Median Earnings,0.305244,0,,,
2014-2019,14020,"Bloomington, IN",Total,Total,Percent Change in Median Earnings,0.113641,0,,,
2018-2019,14020,"Bloomington, IN",Total,Total,Percent Change in Median Earnings,0.070973,0,,,
2009-2019,14100,"Bloomsburg-Berwick, PA",Total,Total,Percent Change in Median Earnings,0.248487,0,,,
2014-2019,14100,"Bloomsburg-Berwick, PA",Total,Total,Percent Change in Median Earnings,0.137244,0,,,
2018-2019,14100,"Bloomsburg-Berwick, PA",Total,Total,Percent Change in Median Earnings,0.066586,0,,,
2009-2019,14140,"Bluefield, WV-VA",Total,Total,Percent Change in Median Earnings,0.055153,0,,,
2014-2019,14140,"Bluefield, WV-VA",Total,Total,Percent Change in Median Earnings,0.037616,0,,,
2018-2019,14140,"Bluefield, WV-VA",Total,Total,Percent Change in Median Earnings,-0.05287,0,,,
2009-2019,14180,"Blytheville, AR",Total,Total,Percent Change in Median Earnings,0.038375,0,,,
2014-2019,14180,"Blytheville, AR",Total,Total,Percent Change in Median Earnings,0.17989,0,,,
2018-2019,14180,"Blytheville, AR",Total,Total,Percent Change in Median Earnings,0.099229,0,,,
2009-2019,14220,"Bogalusa, LA",Total,Total,Percent Change in Median Earnings,-0.310879,0,,,
2014-2019,14220,"Bogalusa, LA",Total,Total,Percent Change in Median Earnings,-0.042083,0,,,
2018-2019,14220,"Bogalusa, LA",Total,Total,Percent Change in Median Earnings,-0.046837,0,,,
2009-2019,14260,"Boise City, ID",Total,Total,Percent Change in Median Earnings,0.162981,1,Large,35,8
2014-2019,14260,"Boise City, ID",Total,Total,Percent Change in Median Earnings,0.164565,1,Large,41,9
2018-2019,14260,"Boise City, ID",Total,Total,Percent Change in Median Earnings,0.034512,1,Large,87,23
2009-2019,14300,"Bonham, TX",Total,Total,Percent Change in Median Earnings,0.062501,0,,,
2014-2019,14300,"Bonham, TX",Total,Total,Percent Change in Median Earnings,0.04132,0,,,
2018-2019,14300,"Bonham, TX",Total,Total,Percent Change in Median Earnings,-0.019271,0,,,
2009-2019,14380,"Boone, NC",Total,Total,Percent Change in Median Earnings,0.011645,0,,,
2014-2019,14380,"Boone, NC",Total,Total,Percent Change in Median Earnings,0.212246,0,,,
2018-2019,14380,"Boone, NC",Total,Total,Percent Change in Median Earnings,0.021093,0,,,
2009-2019,14420,"Borger, TX",Total,Total,Percent Change in Median Earnings,0.096511,0,,,
2014-2019,14420,"Borger, TX",Total,Total,Percent Change in Median Earnings,0.018885,0,,,
2018-2019,14420,"Borger, TX",Total,Total,Percent Change in Median Earnings,-0.000846,0,,,
2009-2019,14460,"Boston-Cambridge-Newton, MA-NH",Total,Total,Percent Change in Median Earnings,0.147841,1,Very Large,42,11
2014-2019,14460,"Boston-Cambridge-Newton, MA-NH",Total,Total,Percent Change in Median Earnings,0.175088,1,Very Large,33,11
2018-2019,14460,"Boston-Cambridge-Newton, MA-NH",Total,Total,Percent Change in Median Earnings,0.08438,1,Very Large,28,5
2009-2019,14500,"Boulder, CO",Total,Total,Percent Change in Median Earnings,0.209917,1,Midsized,17,12
2014-2019,14500,"Boulder, CO",Total,Total,Percent Change in Median Earnings,0.119615,1,Midsized,82,31
2018-2019,14500,"Boulder, CO",Total,Total,Percent Change in Median Earnings,-0.030801,1,Midsized,179,74
2009-2019,14540,"Bowling Green, KY",Total,Total,Percent Change in Median Earnings,0.043672,0,,,
2014-2019,14540,"Bowling Green, KY",Total,Total,Percent Change in Median Earnings,0.035419,0,,,
2018-2019,14540,"Bowling Green, KY",Total,Total,Percent Change in Median Earnings,-0.020641,0,,,
2009-2019,14580,"Bozeman, MT",Total,Total,Percent Change in Median Earnings,0.354628,0,,,
2014-2019,14580,"Bozeman, MT",Total,Total,Percent Change in Median Earnings,0.24472,0,,,
2018-2019,14580,"Bozeman, MT",Total,Total,Percent Change in Median Earnings,0.03398,0,,,
2009-2019,14620,"Bradford, PA",Total,Total,Percent Change in Median Earnings,0.138074,0,,,
2014-2019,14620,"Bradford, PA",Total,Total,Percent Change in Median Earnings,0.102579,0,,,
2018-2019,14620,"Bradford, PA",Total,Total,Percent Change in Median Earnings,0.023577,0,,,
2009-2019,14660,"Brainerd, MN",Total,Total,Percent Change in Median Earnings,0.171879,0,,,
2014-2019,14660,"Brainerd, MN",Total,Total,Percent Change in Median Earnings,0.10309,0,,,
2018-2019,14660,"Brainerd, MN",Total,Total,Percent Change in Median Earnings,0.047214,0,,,
2009-2019,14700,"Branson, MO",Total,Total,Percent Change in Median Earnings,0.187139,0,,,
2014-2019,14700,"Branson, MO",Total,Total,Percent Change in Median Earnings,0.169302,0,,,
2018-2019,14700,"Branson, MO",Total,Total,Percent Change in Median Earnings,0.02959,0,,,
2009-2019,14720,"Breckenridge, CO",Total,Total,Percent Change in Median Earnings,0.224528,0,,,
2014-2019,14720,"Breckenridge, CO",Total,Total,Percent Change in Median Earnings,0.353025,0,,,
2018-2019,14720,"Breckenridge, CO",Total,Total,Percent Change in Median Earnings,0.040224,0,,,
2009-2019,14740,"Bremerton-Silverdale-Port Orchard, WA",Total,Total,Percent Change in Median Earnings,0.162102,1,Midsized,37,19
2014-2019,14740,"Bremerton-Silverdale-Port Orchard, WA",Total,Total,Percent Change in Median Earnings,0.070743,1,Midsized,148,55
2018-2019,14740,"Bremerton-Silverdale-Port Orchard, WA",Total,Total,Percent Change in Median Earnings,0.083391,1,Midsized,29,20
2009-2019,14780,"Brenham, TX",Total,Total,Percent Change in Median Earnings,0.305781,0,,,
2014-2019,14780,"Brenham, TX",Total,Total,Percent Change in Median Earnings,0.064336,0,,,
2018-2019,14780,"Brenham, TX",Total,Total,Percent Change in Median Earnings,0.056492,0,,,
2009-2019,14820,"Brevard, NC",Total,Total,Percent Change in Median Earnings,0.084691,0,,,
2014-2019,14820,"Brevard, NC",Total,Total,Percent Change in Median Earnings,0.165404,0,,,
2018-2019,14820,"Brevard, NC",Total,Total,Percent Change in Median Earnings,-0.032382,0,,,
2009-2019,14860,"Bridgeport-Stamford-Norwalk, CT",Total,Total,Percent Change in Median Earnings,0.091362,1,Large,88,26
2014-2019,14860,"Bridgeport-Stamford-Norwalk, CT",Total,Total,Percent Change in Median Earnings,0.126552,1,Large,73,18
2018-2019,14860,"Bridgeport-Stamford-Norwalk, CT",Total,Total,Percent Change in Median Earnings,0.068068,1,Large,39,7
2009-2019,15020,"Brookhaven, MS",Total,Total,Percent Change in Median Earnings,-0.135811,0,,,
2014-2019,15020,"Brookhaven, MS",Total,Total,Percent Change in Median Earnings,-0.137285,0,,,
2018-2019,15020,"Brookhaven, MS",Total,Total,Percent Change in Median Earnings,-0.137071,0,,,
2009-2019,15060,"Brookings, OR",Total,Total,Percent Change in Median Earnings,0.165681,0,,,
2014-2019,15060,"Brookings, OR",Total,Total,Percent Change in Median Earnings,0.242994,0,,,
2018-2019,15060,"Brookings, OR",Total,Total,Percent Change in Median Earnings,-0.0652,0,,,
2009-2019,15100,"Brookings, SD",Total,Total,Percent Change in Median Earnings,0.209922,0,,,
2014-2019,15100,"Brookings, SD",Total,Total,Percent Change in Median Earnings,0.162439,0,,,
2018-2019,15100,"Brookings, SD",Total,Total,Percent Change in Median Earnings,0.008906,0,,,
2009-2019,15140,"Brownsville, TN",Total,Total,Percent Change in Median Earnings,0.207264,0,,,
2014-2019,15140,"Brownsville, TN",Total,Total,Percent Change in Median Earnings,0.074323,0,,,
2018-2019,15140,"Brownsville, TN",Total,Total,Percent Change in Median Earnings,0.080915,0,,,
2009-2019,15180,"Brownsville-Harlingen, TX",Total,Total,Percent Change in Median Earnings,0.092406,1,Midsized,85,38
2014-2019,15180,"Brownsville-Harlingen, TX",Total,Total,Percent Change in Median Earnings,0.06955,1,Midsized,151,58
2018-2019,15180,"Brownsville-Harlingen, TX",Total,Total,Percent Change in Median Earnings,0.093325,1,Midsized,21,14
2009-2019,15220,"Brownwood, TX",Total,Total,Percent Change in Median Earnings,0.119012,0,,,
2014-2019,15220,"Brownwood, TX",Total,Total,Percent Change in Median Earnings,-0.044443,0,,,
2018-2019,15220,"Brownwood, TX",Total,Total,Percent Change in Median Earnings,0.007985,0,,,
2009-2019,15260,"Brunswick, GA",Total,Total,Percent Change in Median Earnings,0.004177,0,,,
2014-2019,15260,"Brunswick, GA",Total,Total,Percent Change in Median Earnings,0.132212,0,,,
2018-2019,15260,"Brunswick, GA",Total,Total,Percent Change in Median Earnings,0.117099,0,,,
2009-2019,15340,"Bucyrus-Galion, OH",Total,Total,Percent Change in Median Earnings,0.111786,0,,,
2014-2019,15340,"Bucyrus-Galion, OH",Total,Total,Percent Change in Median Earnings,0.118153,0,,,
2018-2019,15340,"Bucyrus-Galion, OH",Total,Total,Percent Change in Median Earnings,-0.031506,0,,,
2009-2019,15380,"Buffalo-Cheektowaga, NY",Total,Total,Percent Change in Median Earnings,0.137738,1,Very Large,50,13
2014-2019,15380,"Buffalo-Cheektowaga, NY",Total,Total,Percent Change in Median Earnings,0.188548,1,Very Large,19,5
2018-2019,15380,"Buffalo-Cheektowaga, NY",Total,Total,Percent Change in Median Earnings,0.041132,1,Very Large,76,19
2009-2019,15420,"Burley, ID",Total,Total,Percent Change in Median Earnings,0.098682,0,,,
2014-2019,15420,"Burley, ID",Total,Total,Percent Change in Median Earnings,0.179627,0,,,
2018-2019,15420,"Burley, ID",Total,Total,Percent Change in Median Earnings,-0.014373,0,,,
2009-2019,15460,"Burlington, IA-IL",Total,Total,Percent Change in Median Earnings,0.0336,0,,,
2014-2019,15460,"Burlington, IA-IL",Total,Total,Percent Change in Median Earnings,0.036755,0,,,
2018-2019,15460,"Burlington, IA-IL",Total,Total,Percent Change in Median Earnings,-0.013558,0,,,
2009-2019,15500,"Burlington, NC",Total,Total,Percent Change in Median Earnings,0.072967,0,,,
2014-2019,15500,"Burlington, NC",Total,Total,Percent Change in Median Earnings,0.200931,0,,,
2018-2019,15500,"Burlington, NC",Total,Total,Percent Change in Median Earnings,-0.000572,0,,,
2009-2019,15540,"Burlington-South Burlington, VT",Total,Total,Percent Change in Median Earnings,0.171131,0,,,
2014-2019,15540,"Burlington-South Burlington, VT",Total,Total,Percent Change in Median Earnings,0.166283,0,,,
2018-2019,15540,"Burlington-South Burlington, VT",Total,Total,Percent Change in Median Earnings,0.135121,0,,,
2009-2019,15580,"Butte-Silver Bow, MT",Total,Total,Percent Change in Median Earnings,0.061968,0,,,
2014-2019,15580,"Butte-Silver Bow, MT",Total,Total,Percent Change in Median Earnings,0.153449,0,,,
2018-2019,15580,"Butte-Silver Bow, MT",Total,Total,Percent Change in Median Earnings,0.103841,0,,,
2009-2019,15620,"Cadillac, MI",Total,Total,Percent Change in Median Earnings,0.308345,0,,,
2014-2019,15620,"Cadillac, MI",Total,Total,Percent Change in Median Earnings,0.068066,0,,,
2018-2019,15620,"Cadillac, MI",Total,Total,Percent Change in Median Earnings,-0.011985,0,,,
2009-2019,15660,"Calhoun, GA",Total,Total,Percent Change in Median Earnings,0.071426,0,,,
2014-2019,15660,"Calhoun, GA",Total,Total,Percent Change in Median Earnings,0.126045,0,,,
2018-2019,15660,"Calhoun, GA",Total,Total,Percent Change in Median Earnings,-0.022319,0,,,
2009-2019,15680,"California-Lexington Park, MD",Total,Total,Percent Change in Median Earnings,0.040183,0,,,
2014-2019,15680,"California-Lexington Park, MD",Total,Total,Percent Change in Median Earnings,0.045144,0,,,
2018-2019,15680,"California-Lexington Park, MD",Total,Total,Percent Change in Median Earnings,-0.022789,0,,,
2009-2019,15700,"Cambridge, MD",Total,Total,Percent Change in Median Earnings,0.16469,0,,,
2014-2019,15700,"Cambridge, MD",Total,Total,Percent Change in Median Earnings,0.179014,0,,,
2018-2019,15700,"Cambridge, MD",Total,Total,Percent Change in Median Earnings,0.117132,0,,,
2009-2019,15740,"Cambridge, OH",Total,Total,Percent Change in Median Earnings,0.062501,0,,,
2014-2019,15740,"Cambridge, OH",Total,Total,Percent Change in Median Earnings,0.089317,0,,,
2018-2019,15740,"Cambridge, OH",Total,Total,Percent Change in Median Earnings,-0.008009,0,,,
2009-2019,15780,"Camden, AR",Total,Total,Percent Change in Median Earnings,0.361258,0,,,
2014-2019,15780,"Camden, AR",Total,Total,Percent Change in Median Earnings,0.196721,0,,,
2018-2019,15780,"Camden, AR",Total,Total,Percent Change in Median Earnings,0.121498,0,,,
2009-2019,15820,"Campbellsville, KY",Total,Total,Percent Change in Median Earnings,-0.065043,0,,,
2014-2019,15820,"Campbellsville, KY",Total,Total,Percent Change in Median Earnings,0.02099,0,,,
2018-2019,15820,"Campbellsville, KY",Total,Total,Percent Change in Median Earnings,-0.0649,0,,,
2009-2019,15940,"Canton-Massillon, OH",Total,Total,Percent Change in Median Earnings,0.105575,1,Midsized,69,33
2014-2019,15940,"Canton-Massillon, OH",Total,Total,Percent Change in Median Earnings,0.090231,1,Midsized,122,45
2018-2019,15940,"Canton-Massillon, OH",Total,Total,Percent Change in Median Earnings,-0.015713,1,Midsized,159,66
2009-2019,15980,"Cape Coral-Fort Myers, FL",Total,Total,Percent Change in Median Earnings,0.062943,1,Large,128,35
2014-2019,15980,"Cape Coral-Fort Myers, FL",Total,Total,Percent Change in Median Earnings,0.151422,1,Large,52,13
2018-2019,15980,"Cape Coral-Fort Myers, FL",Total,Total,Percent Change in Median Earnings,0.013295,1,Large,122,33
2009-2019,16020,"Cape Girardeau, MO-IL",Total,Total,Percent Change in Median Earnings,0.073802,0,,,
2014-2019,16020,"Cape Girardeau, MO-IL",Total,Total,Percent Change in Median Earnings,0.051067,0,,,
2018-2019,16020,"Cape Girardeau, MO-IL",Total,Total,Percent Change in Median Earnings,0.06135,0,,,
2009-2019,16060,"Carbondale-Marion, IL",Total,Total,Percent Change in Median Earnings,0.022681,0,,,
2014-2019,16060,"Carbondale-Marion, IL",Total,Total,Percent Change in Median Earnings,0.063247,0,,,
2018-2019,16060,"Carbondale-Marion, IL",Total,Total,Percent Change in Median Earnings,0.116206,0,,,
2009-2019,16100,"Carlsbad-Artesia, NM",Total,Total,Percent Change in Median Earnings,0.440425,0,,,
2014-2019,16100,"Carlsbad-Artesia, NM",Total,Total,Percent Change in Median Earnings,0.308514,0,,,
2018-2019,16100,"Carlsbad-Artesia, NM",Total,Total,Percent Change in Median Earnings,0.282151,0,,,
2009-2019,16140,"Carroll, IA",Total,Total,Percent Change in Median Earnings,-0.099588,0,,,
2014-2019,16140,"Carroll, IA",Total,Total,Percent Change in Median Earnings,0.042027,0,,,
2018-2019,16140,"Carroll, IA",Total,Total,Percent Change in Median Earnings,-0.132175,0,,,
2009-2019,16180,"Carson City, NV",Total,Total,Percent Change in Median Earnings,0.027085,0,,,
2014-2019,16180,"Carson City, NV",Total,Total,Percent Change in Median Earnings,0.167254,0,,,
2018-2019,16180,"Carson City, NV",Total,Total,Percent Change in Median Earnings,-0.026471,0,,,
2009-2019,16220,"Casper, WY",Total,Total,Percent Change in Median Earnings,0.153565,0,,,
2014-2019,16220,"Casper, WY",Total,Total,Percent Change in Median Earnings,0.046873,0,,,
2018-2019,16220,"Casper, WY",Total,Total,Percent Change in Median Earnings,-0.071235,0,,,
2009-2019,15860,"Cañon City, CO",Total,Total,Percent Change in Median Earnings,0.218749,0,,,
2014-2019,15860,"Cañon City, CO",Total,Total,Percent Change in Median Earnings,0.098479,0,,,
2018-2019,15860,"Cañon City, CO",Total,Total,Percent Change in Median Earnings,-0.007671,0,,,
2009-2019,16260,"Cedar City, UT",Total,Total,Percent Change in Median Earnings,0.167082,0,,,
2014-2019,16260,"Cedar City, UT",Total,Total,Percent Change in Median Earnings,0.312869,0,,,
2018-2019,16260,"Cedar City, UT",Total,Total,Percent Change in Median Earnings,0.112787,0,,,
2009-2019,16300,"Cedar Rapids, IA",Total,Total,Percent Change in Median Earnings,0.105313,1,Midsized,73,34
2014-2019,16300,"Cedar Rapids, IA",Total,Total,Percent Change in Median Earnings,0.065661,1,Midsized,157,59
2018-2019,16300,"Cedar Rapids, IA",Total,Total,Percent Change in Median Earnings,0.066392,1,Midsized,40,25
2009-2019,16340,"Cedartown, GA",Total,Total,Percent Change in Median Earnings,0.068075,0,,,
2014-2019,16340,"Cedartown, GA",Total,Total,Percent Change in Median Earnings,0.139293,0,,,
2018-2019,16340,"Cedartown, GA",Total,Total,Percent Change in Median Earnings,-0.01362,0,,,
2009-2019,16380,"Celina, OH",Total,Total,Percent Change in Median Earnings,0.206987,0,,,
2014-2019,16380,"Celina, OH",Total,Total,Percent Change in Median Earnings,0.271244,0,,,
2018-2019,16380,"Celina, OH",Total,Total,Percent Change in Median Earnings,0.042076,0,,,
2009-2019,16420,"Central City, KY",Total,Total,Percent Change in Median Earnings,0.135575,0,,,
2014-2019,16420,"Central City, KY",Total,Total,Percent Change in Median Earnings,0.061087,0,,,
2018-2019,16420,"Central City, KY",Total,Total,Percent Change in Median Earnings,0.030325,0,,,
2009-2019,16460,"Centralia, IL",Total,Total,Percent Change in Median Earnings,0.232309,0,,,
2014-2019,16460,"Centralia, IL",Total,Total,Percent Change in Median Earnings,0.023568,0,,,
2018-2019,16460,"Centralia, IL",Total,Total,Percent Change in Median Earnings,0.015632,0,,,
2009-2019,16500,"Centralia, WA",Total,Total,Percent Change in Median Earnings,0.275814,0,,,
2014-2019,16500,"Centralia, WA",Total,Total,Percent Change in Median Earnings,0.282331,0,,,
2018-2019,16500,"Centralia, WA",Total,Total,Percent Change in Median Earnings,-0.022264,0,,,
2009-2019,16540,"Chambersburg-Waynesboro, PA",Total,Total,Percent Change in Median Earnings,0.073353,0,,,
2014-2019,16540,"Chambersburg-Waynesboro, PA",Total,Total,Percent Change in Median Earnings,0.169871,0,,,
2018-2019,16540,"Chambersburg-Waynesboro, PA",Total,Total,Percent Change in Median Earnings,0.0157,0,,,
2009-2019,16580,"Champaign-Urbana, IL",Total,Total,Percent Change in Median Earnings,0.337053,0,,,
2014-2019,16580,"Champaign-Urbana, IL",Total,Total,Percent Change in Median Earnings,0.275068,0,,,
2018-2019,16580,"Champaign-Urbana, IL",Total,Total,Percent Change in Median Earnings,0.094855,0,,,
2009-2019,16620,"Charleston, WV",Total,Total,Percent Change in Median Earnings,-0.085945,1,Midsized,192,82
2014-2019,16620,"Charleston, WV",Total,Total,Percent Change in Median Earnings,-0.000093,1,Midsized,184,76
2018-2019,16620,"Charleston, WV",Total,Total,Percent Change in Median Earnings,-0.024034,1,Midsized,177,72
2009-2019,16660,"Charleston-Mattoon, IL",Total,Total,Percent Change in Median Earnings,0.328573,0,,,
2014-2019,16660,"Charleston-Mattoon, IL",Total,Total,Percent Change in Median Earnings,0.053114,0,,,
