year,cbsa,cbsaname,race,education,indicator,value,topmetro,metrosize
2019,11100,"Amarillo, TX",Total,Total,Employment-to-Population Ratio,0.729749739,1,Midsized
2009,11140,"Americus, GA",Total,Total,Employment-to-Population Ratio,0.568763793,0,
2010,11140,"Americus, GA",Total,Total,Employment-to-Population Ratio,0.595150948,0,
2011,11140,"Americus, GA",Total,Total,Employment-to-Population Ratio,0.568040133,0,
2012,11140,"Americus, GA",Total,Total,Employment-to-Population Ratio,0.593394935,0,
2013,11140,"Americus, GA",Total,Total,Employment-to-Population Ratio,0.542538404,0,
2014,11140,"Americus, GA",Total,Total,Employment-to-Population Ratio,0.542835057,0,
2015,11140,"Americus, GA",Total,Total,Employment-to-Population Ratio,0.599248827,0,
2016,11140,"Americus, GA",Total,Total,Employment-to-Population Ratio,0.622270465,0,
2017,11140,"Americus, GA",Total,Total,Employment-to-Population Ratio,0.569548428,0,
2018,11140,"Americus, GA",Total,Total,Employment-to-Population Ratio,0.591065288,0,
2019,11140,"Americus, GA",Total,Total,Employment-to-Population Ratio,0.624663711,0,
2009,11180,"Ames, IA",Total,Total,Employment-to-Population Ratio,0.747889757,0,
2010,11180,"Ames, IA",Total,Total,Employment-to-Population Ratio,0.782080114,0,
2011,11180,"Ames, IA",Total,Total,Employment-to-Population Ratio,0.73217392,0,
2012,11180,"Ames, IA",Total,Total,Employment-to-Population Ratio,0.737930179,0,
2013,11180,"Ames, IA",Total,Total,Employment-to-Population Ratio,0.720476329,0,
2014,11180,"Ames, IA",Total,Total,Employment-to-Population Ratio,0.706029415,0,
2015,11180,"Ames, IA",Total,Total,Employment-to-Population Ratio,0.725869656,0,
2016,11180,"Ames, IA",Total,Total,Employment-to-Population Ratio,0.742768645,0,
2017,11180,"Ames, IA",Total,Total,Employment-to-Population Ratio,0.686830819,0,
2018,11180,"Ames, IA",Total,Total,Employment-to-Population Ratio,0.738142192,0,
2019,11180,"Ames, IA",Total,Total,Employment-to-Population Ratio,0.717541814,0,
2009,11220,"Amsterdam, NY",Total,Total,Employment-to-Population Ratio,0.668140411,0,
2010,11220,"Amsterdam, NY",Total,Total,Employment-to-Population Ratio,0.667746007,0,
2011,11220,"Amsterdam, NY",Total,Total,Employment-to-Population Ratio,0.666775703,0,
2012,11220,"Amsterdam, NY",Total,Total,Employment-to-Population Ratio,0.662342787,0,
2013,11220,"Amsterdam, NY",Total,Total,Employment-to-Population Ratio,0.739443123,0,
2014,11220,"Amsterdam, NY",Total,Total,Employment-to-Population Ratio,0.645432949,0,
2015,11220,"Amsterdam, NY",Total,Total,Employment-to-Population Ratio,0.687701344,0,
2016,11220,"Amsterdam, NY",Total,Total,Employment-to-Population Ratio,0.704958022,0,
2017,11220,"Amsterdam, NY",Total,Total,Employment-to-Population Ratio,0.713010967,0,
2018,11220,"Amsterdam, NY",Total,Total,Employment-to-Population Ratio,0.697663367,0,
2019,11220,"Amsterdam, NY",Total,Total,Employment-to-Population Ratio,0.706745267,0,
2009,11260,"Anchorage, AK",Total,Total,Employment-to-Population Ratio,0.727558911,1,Midsized
2010,11260,"Anchorage, AK",Total,Total,Employment-to-Population Ratio,0.729234517,1,Midsized
2011,11260,"Anchorage, AK",Total,Total,Employment-to-Population Ratio,0.740635395,1,Midsized
2012,11260,"Anchorage, AK",Total,Total,Employment-to-Population Ratio,0.739921451,1,Midsized
2013,11260,"Anchorage, AK",Total,Total,Employment-to-Population Ratio,0.760246396,1,Midsized
2014,11260,"Anchorage, AK",Total,Total,Employment-to-Population Ratio,0.744075835,1,Midsized
2015,11260,"Anchorage, AK",Total,Total,Employment-to-Population Ratio,0.722150564,1,Midsized
2016,11260,"Anchorage, AK",Total,Total,Employment-to-Population Ratio,0.732025564,1,Midsized
2017,11260,"Anchorage, AK",Total,Total,Employment-to-Population Ratio,0.73320204,1,Midsized
2018,11260,"Anchorage, AK",Total,Total,Employment-to-Population Ratio,0.737915993,1,Midsized
2019,11260,"Anchorage, AK",Total,Total,Employment-to-Population Ratio,0.723737597,1,Midsized
2009,11380,"Andrews, TX",Total,Total,Employment-to-Population Ratio,0.650712192,0,
2010,11380,"Andrews, TX",Total,Total,Employment-to-Population Ratio,0.689503133,0,
2011,11380,"Andrews, TX",Total,Total,Employment-to-Population Ratio,0.661987305,0,
2012,11380,"Andrews, TX",Total,Total,Employment-to-Population Ratio,0.65203917,0,
2013,11380,"Andrews, TX",Total,Total,Employment-to-Population Ratio,0.644364059,0,
2014,11380,"Andrews, TX",Total,Total,Employment-to-Population Ratio,0.654121339,0,
2015,11380,"Andrews, TX",Total,Total,Employment-to-Population Ratio,0.62232846,0,
2016,11380,"Andrews, TX",Total,Total,Employment-to-Population Ratio,0.647351801,0,
2017,11380,"Andrews, TX",Total,Total,Employment-to-Population Ratio,0.62622726,0,
2018,11380,"Andrews, TX",Total,Total,Employment-to-Population Ratio,0.653469026,0,
2019,11380,"Andrews, TX",Total,Total,Employment-to-Population Ratio,0.67375952,0,
2009,11420,"Angola, IN",Total,Total,Employment-to-Population Ratio,0.680651903,0,
2010,11420,"Angola, IN",Total,Total,Employment-to-Population Ratio,0.677714109,0,
2011,11420,"Angola, IN",Total,Total,Employment-to-Population Ratio,0.682910085,0,
2012,11420,"Angola, IN",Total,Total,Employment-to-Population Ratio,0.711274683,0,
2013,11420,"Angola, IN",Total,Total,Employment-to-Population Ratio,0.702863395,0,
2014,11420,"Angola, IN",Total,Total,Employment-to-Population Ratio,0.753128111,0,
2015,11420,"Angola, IN",Total,Total,Employment-to-Population Ratio,0.770606637,0,
2016,11420,"Angola, IN",Total,Total,Employment-to-Population Ratio,0.751327991,0,
2017,11420,"Angola, IN",Total,Total,Employment-to-Population Ratio,0.760585904,0,
2018,11420,"Angola, IN",Total,Total,Employment-to-Population Ratio,0.776973069,0,
2019,11420,"Angola, IN",Total,Total,Employment-to-Population Ratio,0.765780151,0,
2009,11460,"Ann Arbor, MI",Total,Total,Employment-to-Population Ratio,0.669520199,1,Midsized
2010,11460,"Ann Arbor, MI",Total,Total,Employment-to-Population Ratio,0.68445164,1,Midsized
2011,11460,"Ann Arbor, MI",Total,Total,Employment-to-Population Ratio,0.666634917,1,Midsized
2012,11460,"Ann Arbor, MI",Total,Total,Employment-to-Population Ratio,0.678631723,1,Midsized
2013,11460,"Ann Arbor, MI",Total,Total,Employment-to-Population Ratio,0.688474953,1,Midsized
2014,11460,"Ann Arbor, MI",Total,Total,Employment-to-Population Ratio,0.695869625,1,Midsized
2015,11460,"Ann Arbor, MI",Total,Total,Employment-to-Population Ratio,0.708953857,1,Midsized
2016,11460,"Ann Arbor, MI",Total,Total,Employment-to-Population Ratio,0.707312822,1,Midsized
2017,11460,"Ann Arbor, MI",Total,Total,Employment-to-Population Ratio,0.714291394,1,Midsized
2018,11460,"Ann Arbor, MI",Total,Total,Employment-to-Population Ratio,0.715798914,1,Midsized
2019,11460,"Ann Arbor, MI",Total,Total,Employment-to-Population Ratio,0.724620223,1,Midsized
2009,11500,"Anniston-Oxford, AL",Total,Total,Employment-to-Population Ratio,0.613942325,0,
2010,11500,"Anniston-Oxford, AL",Total,Total,Employment-to-Population Ratio,0.535896063,0,
2011,11500,"Anniston-Oxford, AL",Total,Total,Employment-to-Population Ratio,0.617190659,0,
2012,11500,"Anniston-Oxford, AL",Total,Total,Employment-to-Population Ratio,0.614403784,0,
2013,11500,"Anniston-Oxford, AL",Total,Total,Employment-to-Population Ratio,0.585287154,0,
2014,11500,"Anniston-Oxford, AL",Total,Total,Employment-to-Population Ratio,0.64919138,0,
2015,11500,"Anniston-Oxford, AL",Total,Total,Employment-to-Population Ratio,0.652857661,0,
2016,11500,"Anniston-Oxford, AL",Total,Total,Employment-to-Population Ratio,0.618898809,0,
2017,11500,"Anniston-Oxford, AL",Total,Total,Employment-to-Population Ratio,0.623763204,0,
2018,11500,"Anniston-Oxford, AL",Total,Total,Employment-to-Population Ratio,0.672644258,0,
2019,11500,"Anniston-Oxford, AL",Total,Total,Employment-to-Population Ratio,0.655596614,0,
2009,11540,"Appleton, WI",Total,Total,Employment-to-Population Ratio,0.772579074,0,
2010,11540,"Appleton, WI",Total,Total,Employment-to-Population Ratio,0.7616207,0,
2011,11540,"Appleton, WI",Total,Total,Employment-to-Population Ratio,0.755637527,0,
2012,11540,"Appleton, WI",Total,Total,Employment-to-Population Ratio,0.793257833,0,
2013,11540,"Appleton, WI",Total,Total,Employment-to-Population Ratio,0.803281307,0,
2014,11540,"Appleton, WI",Total,Total,Employment-to-Population Ratio,0.801161408,0,
2015,11540,"Appleton, WI",Total,Total,Employment-to-Population Ratio,0.821051598,0,
2016,11540,"Appleton, WI",Total,Total,Employment-to-Population Ratio,0.80265075,0,
2017,11540,"Appleton, WI",Total,Total,Employment-to-Population Ratio,0.815584481,0,
2018,11540,"Appleton, WI",Total,Total,Employment-to-Population Ratio,0.814745843,0,
2019,11540,"Appleton, WI",Total,Total,Employment-to-Population Ratio,0.807168543,0,
2009,11580,"Arcadia, FL",Total,Total,Employment-to-Population Ratio,0.603096783,0,
2010,11580,"Arcadia, FL",Total,Total,Employment-to-Population Ratio,0.592661619,0,
2011,11580,"Arcadia, FL",Total,Total,Employment-to-Population Ratio,0.546216249,0,
2012,11580,"Arcadia, FL",Total,Total,Employment-to-Population Ratio,0.525845647,0,
2013,11580,"Arcadia, FL",Total,Total,Employment-to-Population Ratio,0.574017644,0,
2014,11580,"Arcadia, FL",Total,Total,Employment-to-Population Ratio,0.578554809,0,
2015,11580,"Arcadia, FL",Total,Total,Employment-to-Population Ratio,0.613170683,0,
2016,11580,"Arcadia, FL",Total,Total,Employment-to-Population Ratio,0.559485018,0,
2017,11580,"Arcadia, FL",Total,Total,Employment-to-Population Ratio,0.585834861,0,
2018,11580,"Arcadia, FL",Total,Total,Employment-to-Population Ratio,0.588238358,0,
2019,11580,"Arcadia, FL",Total,Total,Employment-to-Population Ratio,0.625565112,0,
2009,11620,"Ardmore, OK",Total,Total,Employment-to-Population Ratio,0.673357308,0,
2010,11620,"Ardmore, OK",Total,Total,Employment-to-Population Ratio,0.657348692,0,
2011,11620,"Ardmore, OK",Total,Total,Employment-to-Population Ratio,0.682911098,0,
2012,11620,"Ardmore, OK",Total,Total,Employment-to-Population Ratio,0.739607215,0,
2013,11620,"Ardmore, OK",Total,Total,Employment-to-Population Ratio,0.696076155,0,
2014,11620,"Ardmore, OK",Total,Total,Employment-to-Population Ratio,0.70763576,0,
2015,11620,"Ardmore, OK",Total,Total,Employment-to-Population Ratio,0.668186605,0,
2016,11620,"Ardmore, OK",Total,Total,Employment-to-Population Ratio,0.630053401,0,
2017,11620,"Ardmore, OK",Total,Total,Employment-to-Population Ratio,0.620318055,0,
2018,11620,"Ardmore, OK",Total,Total,Employment-to-Population Ratio,0.66781038,0,
2019,11620,"Ardmore, OK",Total,Total,Employment-to-Population Ratio,0.681840956,0,
2009,11660,"Arkadelphia, AR",Total,Total,Employment-to-Population Ratio,0.62607944,0,
2010,11660,"Arkadelphia, AR",Total,Total,Employment-to-Population Ratio,0.596283436,0,
2011,11660,"Arkadelphia, AR",Total,Total,Employment-to-Population Ratio,0.669799626,0,
2012,11660,"Arkadelphia, AR",Total,Total,Employment-to-Population Ratio,0.620699704,0,
2013,11660,"Arkadelphia, AR",Total,Total,Employment-to-Population Ratio,0.627416134,0,
2014,11660,"Arkadelphia, AR",Total,Total,Employment-to-Population Ratio,0.62456876,0,
2015,11660,"Arkadelphia, AR",Total,Total,Employment-to-Population Ratio,0.613115251,0,
2016,11660,"Arkadelphia, AR",Total,Total,Employment-to-Population Ratio,0.679420233,0,
2017,11660,"Arkadelphia, AR",Total,Total,Employment-to-Population Ratio,0.626897097,0,
2018,11660,"Arkadelphia, AR",Total,Total,Employment-to-Population Ratio,0.632329524,0,
2019,11660,"Arkadelphia, AR",Total,Total,Employment-to-Population Ratio,0.661073565,0,
2009,11700,"Asheville, NC",Total,Total,Employment-to-Population Ratio,0.677964866,1,Midsized
2010,11700,"Asheville, NC",Total,Total,Employment-to-Population Ratio,0.65914017,1,Midsized
2011,11700,"Asheville, NC",Total,Total,Employment-to-Population Ratio,0.661291718,1,Midsized
2012,11700,"Asheville, NC",Total,Total,Employment-to-Population Ratio,0.683514833,1,Midsized
2013,11700,"Asheville, NC",Total,Total,Employment-to-Population Ratio,0.703450739,1,Midsized
2014,11700,"Asheville, NC",Total,Total,Employment-to-Population Ratio,0.697008014,1,Midsized
2015,11700,"Asheville, NC",Total,Total,Employment-to-Population Ratio,0.68118012,1,Midsized
2016,11700,"Asheville, NC",Total,Total,Employment-to-Population Ratio,0.721936047,1,Midsized
2017,11700,"Asheville, NC",Total,Total,Employment-to-Population Ratio,0.738771141,1,Midsized
2018,11700,"Asheville, NC",Total,Total,Employment-to-Population Ratio,0.745153069,1,Midsized
2019,11700,"Asheville, NC",Total,Total,Employment-to-Population Ratio,0.743157744,1,Midsized
2009,11740,"Ashland, OH",Total,Total,Employment-to-Population Ratio,0.720814645,0,
2010,11740,"Ashland, OH",Total,Total,Employment-to-Population Ratio,0.648645282,0,
2011,11740,"Ashland, OH",Total,Total,Employment-to-Population Ratio,0.748255849,0,
2012,11740,"Ashland, OH",Total,Total,Employment-to-Population Ratio,0.685521543,0,
2013,11740,"Ashland, OH",Total,Total,Employment-to-Population Ratio,0.697741091,0,
2014,11740,"Ashland, OH",Total,Total,Employment-to-Population Ratio,0.704188228,0,
2015,11740,"Ashland, OH",Total,Total,Employment-to-Population Ratio,0.767768681,0,
2016,11740,"Ashland, OH",Total,Total,Employment-to-Population Ratio,0.756931186,0,
2017,11740,"Ashland, OH",Total,Total,Employment-to-Population Ratio,0.740350664,0,
2018,11740,"Ashland, OH",Total,Total,Employment-to-Population Ratio,0.738895059,0,
2019,11740,"Ashland, OH",Total,Total,Employment-to-Population Ratio,0.759342611,0,
2009,11780,"Ashtabula, OH",Total,Total,Employment-to-Population Ratio,0.63108623,0,
2010,11780,"Ashtabula, OH",Total,Total,Employment-to-Population Ratio,0.660787284,0,
2011,11780,"Ashtabula, OH",Total,Total,Employment-to-Population Ratio,0.597468376,0,
2012,11780,"Ashtabula, OH",Total,Total,Employment-to-Population Ratio,0.613822579,0,
2013,11780,"Ashtabula, OH",Total,Total,Employment-to-Population Ratio,0.639189959,0,
2014,11780,"Ashtabula, OH",Total,Total,Employment-to-Population Ratio,0.634635329,0,
2015,11780,"Ashtabula, OH",Total,Total,Employment-to-Population Ratio,0.632453024,0,
2016,11780,"Ashtabula, OH",Total,Total,Employment-to-Population Ratio,0.631129682,0,
2017,11780,"Ashtabula, OH",Total,Total,Employment-to-Population Ratio,0.648215413,0,
2018,11780,"Ashtabula, OH",Total,Total,Employment-to-Population Ratio,0.611859679,0,
2019,11780,"Ashtabula, OH",Total,Total,Employment-to-Population Ratio,0.703685939,0,
2009,11820,"Astoria, OR",Total,Total,Employment-to-Population Ratio,0.654535174,0,
2010,11820,"Astoria, OR",Total,Total,Employment-to-Population Ratio,0.651691794,0,
2011,11820,"Astoria, OR",Total,Total,Employment-to-Population Ratio,0.643685699,0,
2012,11820,"Astoria, OR",Total,Total,Employment-to-Population Ratio,0.640672445,0,
2013,11820,"Astoria, OR",Total,Total,Employment-to-Population Ratio,0.668243468,0,
2014,11820,"Astoria, OR",Total,Total,Employment-to-Population Ratio,0.684651196,0,
2015,11820,"Astoria, OR",Total,Total,Employment-to-Population Ratio,0.654248714,0,
2016,11820,"Astoria, OR",Total,Total,Employment-to-Population Ratio,0.656455815,0,
2017,11820,"Astoria, OR",Total,Total,Employment-to-Population Ratio,0.629965246,0,
2018,11820,"Astoria, OR",Total,Total,Employment-to-Population Ratio,0.693844259,0,
2019,11820,"Astoria, OR",Total,Total,Employment-to-Population Ratio,0.680629194,0,
2009,11860,"Atchison, KS",Total,Total,Employment-to-Population Ratio,0.686270654,0,
2010,11860,"Atchison, KS",Total,Total,Employment-to-Population Ratio,0.704326928,0,
2011,11860,"Atchison, KS",Total,Total,Employment-to-Population Ratio,0.726924896,0,
2012,11860,"Atchison, KS",Total,Total,Employment-to-Population Ratio,0.67979902,0,
2013,11860,"Atchison, KS",Total,Total,Employment-to-Population Ratio,0.657766759,0,
2014,11860,"Atchison, KS",Total,Total,Employment-to-Population Ratio,0.657455325,0,
2015,11860,"Atchison, KS",Total,Total,Employment-to-Population Ratio,0.692139506,0,
2016,11860,"Atchison, KS",Total,Total,Employment-to-Population Ratio,0.731649578,0,
2017,11860,"Atchison, KS",Total,Total,Employment-to-Population Ratio,0.728717148,0,
2018,11860,"Atchison, KS",Total,Total,Employment-to-Population Ratio,0.725369811,0,
2019,11860,"Atchison, KS",Total,Total,Employment-to-Population Ratio,0.757662654,0,
2009,11900,"Athens, OH",Total,Total,Employment-to-Population Ratio,0.553683281,0,
2010,11900,"Athens, OH",Total,Total,Employment-to-Population Ratio,0.551430643,0,
2011,11900,"Athens, OH",Total,Total,Employment-to-Population Ratio,0.536831856,0,
2012,11900,"Athens, OH",Total,Total,Employment-to-Population Ratio,0.577390492,0,
2013,11900,"Athens, OH",Total,Total,Employment-to-Population Ratio,0.590584695,0,
2014,11900,"Athens, OH",Total,Total,Employment-to-Population Ratio,0.523271024,0,
2015,11900,"Athens, OH",Total,Total,Employment-to-Population Ratio,0.565454304,0,
2016,11900,"Athens, OH",Total,Total,Employment-to-Population Ratio,0.533862829,0,
2017,11900,"Athens, OH",Total,Total,Employment-to-Population Ratio,0.58097738,0,
2018,11900,"Athens, OH",Total,Total,Employment-to-Population Ratio,0.629735112,0,
2019,11900,"Athens, OH",Total,Total,Employment-to-Population Ratio,0.589404881,0,
2009,11940,"Athens, TN",Total,Total,Employment-to-Population Ratio,0.646448672,0,
2010,11940,"Athens, TN",Total,Total,Employment-to-Population Ratio,0.628561616,0,
2011,11940,"Athens, TN",Total,Total,Employment-to-Population Ratio,0.631735086,0,
2012,11940,"Athens, TN",Total,Total,Employment-to-Population Ratio,0.62948513,0,
2013,11940,"Athens, TN",Total,Total,Employment-to-Population Ratio,0.630898774,0,
2014,11940,"Athens, TN",Total,Total,Employment-to-Population Ratio,0.663231671,0,
2015,11940,"Athens, TN",Total,Total,Employment-to-Population Ratio,0.635319531,0,
2016,11940,"Athens, TN",Total,Total,Employment-to-Population Ratio,0.671623886,0,
2017,11940,"Athens, TN",Total,Total,Employment-to-Population Ratio,0.669379115,0,
2018,11940,"Athens, TN",Total,Total,Employment-to-Population Ratio,0.690892458,0,
2019,11940,"Athens, TN",Total,Total,Employment-to-Population Ratio,0.668577492,0,
2009,11980,"Athens, TX",Total,Total,Employment-to-Population Ratio,0.586526632,0,
2010,11980,"Athens, TX",Total,Total,Employment-to-Population Ratio,0.547596693,0,
2011,11980,"Athens, TX",Total,Total,Employment-to-Population Ratio,0.537474453,0,
2012,11980,"Athens, TX",Total,Total,Employment-to-Population Ratio,0.569375694,0,
